id,category,round,success,total_s,plan_s,exec_s,goal,steps_detail,recall,failure_reason
rs_home,基础运动,1,True,0.14,0.0,0.14,机器人回到 Home 位置,robot_tool(ok),,
rs_home,基础运动,2,True,0.547,0.0,0.547,机器人回到 Home 位置,robot_tool(ok),,
rs_home,基础运动,3,True,0.563,0.0,0.563,机器人回到 Home 位置,robot_tool(ok),,
rs_home,基础运动,4,True,0.547,0.0,0.547,机器人回到 Home 位置,robot_tool(ok),,
rs_home,基础运动,5,True,0.547,0.0,0.547,机器人回到 Home 位置,robot_tool(ok),,
rs_joint_move,基础运动,1,True,1.0,0.0,1.0,移动到指定点,robot_tool(ok),,
rs_joint_move,基础运动,2,True,0.562,0.0,0.562,移动到指定点,robot_tool(ok),,
rs_joint_move,基础运动,3,True,0.563,0.0,0.563,移动到指定点,robot_tool(ok),,
rs_joint_move,基础运动,4,True,0.546,0.0,0.546,移动到指定点,robot_tool(ok),,
rs_joint_move,基础运动,5,True,0.563,0.0,0.563,移动到指定点,robot_tool(ok),,
rs_linear_move,基础运动,1,True,0.75,0.0,0.75,直线移动到指定点,robot_tool(ok),,
rs_linear_move,基础运动,2,True,0.562,0.0,0.562,直线移动到指定点,robot_tool(ok),,
rs_linear_move,基础运动,3,True,0.547,0.0,0.547,直线移动到指定点,robot_tool(ok),,
rs_linear_move,基础运动,4,True,0.547,0.0,0.547,直线移动到指定点,robot_tool(ok),,
rs_linear_move,基础运动,5,True,0.547,0.0,0.547,直线移动到指定点,robot_tool(ok),,
rs_status,基础运动,1,True,0.516,0.016,0.5,读取机器人当前状态（关节真值）,robot_tool(ok),,
rs_status,基础运动,2,True,0.5,0.0,0.5,读取机器人当前状态（关节真值）,robot_tool(ok),,
rs_status,基础运动,3,True,0.5,0.0,0.5,读取机器人当前状态（关节真值）,robot_tool(ok),,
rs_status,基础运动,4,True,0.5,0.0,0.5,读取机器人当前状态（关节真值）,robot_tool(ok),,
rs_status,基础运动,5,True,0.515,0.0,0.515,读取机器人当前状态（关节真值）,robot_tool(ok),,
rs_plan_move,Agent规划任务,1,True,0.766,0.0,0.766,移动到指定点,robot_tool(ok),,
rs_plan_move,Agent规划任务,2,True,0.562,0.0,0.562,移动到指定点,robot_tool(ok),,
rs_plan_move,Agent规划任务,3,True,0.547,0.0,0.547,移动到指定点,robot_tool(ok),,
rs_plan_move,Agent规划任务,4,True,0.547,0.0,0.547,移动到指定点,robot_tool(ok),,
rs_plan_move,Agent规划任务,5,True,0.563,0.0,0.563,移动到指定点,robot_tool(ok),,
rs_vision,视觉任务,1,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_vision,视觉任务,2,True,0.0,0.0,0.0,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_vision,视觉任务,3,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_vision,视觉任务,4,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_vision,视觉任务,5,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_memory_recall,记忆任务,1,True,0.515,0.0,0.515,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_memory_recall,记忆任务,2,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_memory_recall,记忆任务,3,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_memory_recall,记忆任务,4,True,0.516,0.0,0.516,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_memory_recall,记忆任务,5,True,0.5,0.0,0.5,定位目标位置,vision_tool(ok) | environment_tool(ok),True,
rs_memory_move,记忆任务,1,True,0.766,0.0,0.766,把 红色零件 移动到目标位置（记忆：位于右侧区域）,robot_tool(ok),True,
rs_memory_move,记忆任务,2,True,0.546,0.0,0.546,把 红色零件 移动到目标位置（记忆：位于右侧区域）,robot_tool(ok),True,
rs_memory_move,记忆任务,3,True,0.563,0.0,0.563,把 红色零件 移动到目标位置（记忆：位于右侧区域）,robot_tool(ok),True,
rs_memory_move,记忆任务,4,True,0.547,0.0,0.547,把 红色零件 移动到目标位置（记忆：位于右侧区域）,robot_tool(ok),True,
rs_memory_move,记忆任务,5,True,0.547,0.0,0.547,把 红色零件 移动到目标位置（记忆：位于右侧区域）,robot_tool(ok),True,
